"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Quantity","Unit Price","Extended Price","Description"
"ERJ-PB3B2400V","Panasonic Electronic Components","P19899CT-ND","","","1","0.20000","£0.20","RES SMD 240 OHM 0.1% 1/5W 0603"
"ERJ-PA3F18R0V","Panasonic Electronic Components","P18.00BYCT-ND","","","1","0.13000","£0.13","RES SMD 18 OHM 1% 1/4W 0603"
"ERJ-PB3B6341V","Panasonic Electronic Components","P20064CT-ND","","","1","0.20000","£0.20","RES SMD 6.34K OHM 0.1% 1/5W 0603"
"MCS0402PD4991DE500","Vishay Beyschlag","749-1514-1-ND","","","3","0.50000","£1.50","RES 4.99K OHM 0.5% 1/5W 0402"
"ERJ-PB3B7501V","Panasonic Electronic Components","P20072CT-ND","","","1","0.20000","£0.20","RES SMD 7.5K OHM 0.1% 1/5W 0603"
"MCS0402PD1002DE500","Vishay Beyschlag","749-1515-1-ND","","","20","0.38200","£7.64","RES 10K OHM 0.5% 1/5W 0402"
"MCS0402PD1502DE500","Vishay Beyschlag","749-1516-1-ND","","","3","0.50000","£1.50","RES 15K OHM 0.5% 1/5W 0402"
"ERJ-PA2F3302X","Panasonic Electronic Components","P17233CT-ND","","","1","0.18000","£0.18","RES SMD 33K OHM 1% 1/5W 0402"
"ERJ-3EKF4123V","Panasonic Electronic Components","P412KHCT-ND","","","1","0.08000","£0.08","RES SMD 412K OHM 1% 1/10W 0603"
"ERJ-P06F59R0V","Panasonic Electronic Components","P16075CT-ND","","","1","0.16000","£0.16","RES SMD 59 OHM 1% 1/2W 0805"
"500X14W103MV4T","Johanson Dielectrics Inc.","709-1008-1-ND","","","1","0.32000","£0.32","CAP CER 10000PF 50V X7R 0603"
"160X41W105MV4E","Johanson Dielectrics Inc.","709-1108-1-ND","","","2","0.61000","£1.22","CAP CER 1UF 16V X7R 1210"
"DLW31SN601SQ2L","Murata Electronics North America","490-1068-1-ND","","","1","0.96000","£0.96","CMC 260MA 2LN 600 OHM SMD"
"BLM15AX102SZ1D","Murata Electronics North America","490-16654-1-ND","","","2","0.09000","£0.18","FERRITE BEAD 1 KOHM 0402 1LN"
"B4003NLT","Pulse Electronics Network","553-2143-1-ND","","","1","3.20000","£3.20","COMMON MODE CHOKE 2LN SMD"
"ERJ-PB3B3000V","Panasonic Electronic Components","P19910CT-ND","","","2","0.20000","£0.40","RES SMD 300 OHM 0.1% 1/5W 0603"
"ERJ-PA2F1004X","Panasonic Electronic Components","P17242CT-ND","","","2","0.18000","£0.36","RES SMD 1M OHM 1% 1/5W 0402"
"C3216C0G2A104J160AC","TDK Corporation","445-172677-1-ND","","","12","0.66200","£7.94","CAP CER 0.1UF 100V C0G 1206"
"C1608C0G2A103J080AC","TDK Corporation","445-172665-1-ND","","","1","0.31000","£0.31","CAP CER 10000PF 100V C0G 0603"
"L0603B100MDWFT","KEMET","399-17788-1-ND","","","1","0.32000","£0.32","INDUCTORPWR IND FOR DC/DC CONVER"
"MAX31855KASA+","Maxim Integrated","MAX31855KASA+-ND","","","1","3.54000","£3.54","IC CONV THERMOCOUPLE-DGTL SOIC"
"AD5290YRMZ10","Analog Devices Inc.","AD5290YRMZ10-ND","","","1","4.32000","£4.32","IC DGTL POT 10K 256POS 10MSOP"
"PTCCL07H141HBE","Vishay BC Components","BC2719-ND","","","1","1.01000","£1.01","PTC RESET FUSE 265V 140MA RADIAL"
"TXB0104QRUTRQ1","Texas Instruments","296-41033-1-ND","","","1","1.18000","£1.18","IC TRNSLTR BIDIRECTIONAL 12UQFN"
"TXB0102DCUR","Texas Instruments","296-22862-1-ND","","","1","0.72000","£0.72","IC TRNSLTR BIDIRECTIONAL US8"
"MIC4680-5.0YM","Microchip Technology","576-3379-5-ND","","","1","1.78000","£1.78","IC REG BUCK BOOST 5V 1.3A 8SOIC"
"UHW1J222MHD","Nichicon","493-14574-ND","","","1","3.02000","£3.02","CAP ALUM 2200UF 20% 63V RADIAL"
"T521X156M063ATE035","KEMET","399-10460-1-ND","","","1","5.09000","£5.09","CAP TANTALUM 15UF 63V 2917"
"B260AQ-13-F","Diodes Incorporated","B260AQ-13-FDICT-ND","","","1","0.32000","£0.32","DIODE SCHOTTKY 60V 2A SMA"
"SRN8040TA-680M","Bourns Inc.","SRN8040TA-680MCT-ND","","","1","0.58000","£0.58","FIXED IND 68UH 1.65A 205 MOHM"
"UWD1E221MCL1GS","Nichicon","493-6291-1-ND","","","1","0.72000","£0.72","CAP ALUM 220UF 20% 25V SMD"
"S202121SS03Q","C&K","CKN10659-ND","","","1","3.19000","£3.19","SWITCH SLIDE DPDT 6A 125V"
